RBD_ID,RBD_NAME,mancatid,mancatname,OpCatID,OpCatName
2,Solway Tweed,3100,Till,3379,Till River
2,Solway Tweed,3102,Tweed,3380,Tweed River
2,Solway Tweed,3109,Waver and Wampool,3519,Waver-Wampool
2,Solway Tweed,3036,Eden and Esk,3155,Eamont
2,Solway Tweed,3036,Eden and Esk,3166,Eden Upper
2,Solway Tweed,3036,Eden and Esk,3063,Caldew
2,Solway Tweed,3036,Eden and Esk,3165,Eden Lower
2,Solway Tweed,3036,Eden and Esk,3178,Esk and Irthing
2,Solway Tweed,3036,Eden and Esk,3360,Petteril
3,Northumbria,3067,Northumberland Rivers,3030,Berwick to Alnmouth Coast
3,Northumbria,3067,Northumberland Rivers,3036,Blyth
3,Northumbria,3067,Northumberland Rivers,3006,Aln
3,Northumbria,3067,Northumberland Rivers,3105,Coquet Lower
3,Northumbria,3067,Northumberland Rivers,3515,Wansbeck
3,Northumbria,3067,Northumberland Rivers,3294,Lyne and Druridge Bay Coast
3,Northumbria,3067,Northumberland Rivers,3107,Coquet Upper
3,Northumbria,3067,Northumberland Rivers,3366,Pont
3,Northumbria,3103,Tyne,3005,Allen
3,Northumbria,3103,Tyne,3136,Derwent Tyne
3,Northumbria,3103,Tyne,3478,Tyne Lower and Estuary
3,Northumbria,3103,Tyne,3333,North Tyne Lower
3,Northumbria,3103,Tyne,3334,North Tyne Upper
3,Northumbria,3103,Tyne,3372,Rede
3,Northumbria,3103,Tyne,3418,South Tyne Upper
3,Northumbria,3103,Tyne,3417,South Tyne Lower
3,Northumbria,3103,Tyne,3480,Tyne Upper
3,Northumbria,3110,Wear,3197,Gaunless
3,Northumbria,3110,Wear,3522,Wear Middle
3,Northumbria,3110,Wear,3052,Browney
3,Northumbria,3110,Wear,3520,Wear Lower and Estuary
3,Northumbria,3110,Wear,3523,Wear Upper
3,Northumbria,3093,Tees,3252,Leven Northumbria
3,Northumbria,3093,Tees,3388,Saltburn Coast
3,Northumbria,3093,Tees,3445,Tees Lower and Estuary
3,Northumbria,3093,Tees,3447,Tees Middle
3,Northumbria,3093,Tees,3448,Tees Upper
3,Northumbria,3093,Tees,3406,Skerne
3,Northumbria,3110,Wear,3394,Seaham Peterlee Coast
4,Humber,3039,Hull and East Riding,3057,Burstwick and Eastern Drains
4,Humber,3039,Hull and East Riding,3025,Barmston Sea Drain
4,Humber,3039,Hull and East Riding,3191,Foulness
4,Humber,3039,Hull and East Riding,3274,Hull Lower
4,Humber,3039,Hull and East Riding,3492,Hull Upper
4,Humber,3039,Hull and East Riding,3214,Gypsey Race
4,Humber,3029,Don and Rother,3385,Rother and Doe Lea
4,Humber,3029,Don and Rother,3490,Don Upper
4,Humber,3029,Don and Rother,3312,Don Middle
4,Humber,3029,Don and Rother,3125,Dearne
4,Humber,3029,Don and Rother,3272,Don Lower
4,Humber,3001,Aire and Calder,3097,Colne and Holme
4,Humber,3001,Aire and Calder,3268,Calder Lower
4,Humber,3001,Aire and Calder,3310,Calder Middle
4,Humber,3001,Aire and Calder,3487,Calder Upper
4,Humber,3001,Aire and Calder,3265,Aire Lower
4,Humber,3001,Aire and Calder,3307,Aire Middle
4,Humber,3001,Aire and Calder,3484,Aire Upper
4,Humber,3027,Derwent Humber,3271,Derwent Lower Yorkshire
4,Humber,3088,Swale Ure Nidd and Ouse Upper,3190,Foss
4,Humber,3027,Derwent Humber,3311,Derwent Middle Yorkshire
4,Humber,3115,Wharfe and Ouse Lower,3280,Ouse Lower Yorkshire
4,Humber,3088,Swale Ure Nidd and Ouse Upper,3308,Nidd Middle and Lower
4,Humber,3088,Swale Ure Nidd and Ouse Upper,3499,Ouse Upper Yorkshire
4,Humber,3088,Swale Ure Nidd and Ouse Upper,3309,Ure Middle and Lower
