WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB112069061320,2,13/09/2013,,"GB71210004, GB112069061381, GB112069061382, GB641211630001, GB531206908100, GB112069061382",,GB112069061381,,Bollin (Source to Dean),River,388533,379785,SJ8853379785,397450,382272,383851,369722,Heavily Modified
GB112069061330,2,13/09/2013,,"GB71210004, GB112069061370, GB112069061382, GB641211630001, GB531206908100, GB112069061382",,GB112069061370,,Mobberley Brook,River,381623,378197,SJ8162378197,387470,383303,376768,377016,Not Designated A/HMWB
GB112069061340,2,13/09/2013,,"GB71210004, GB112069061370, GB112069061382, GB641211630001, GB531206908100, GB112069061382",,GB112069061370,,Birkin Brook - Source to Mobberley Brook,River,376521,383294,SJ7652183294,383285,383594,375378,376111,Not Designated A/HMWB
GB112069061350,2,13/09/2013,,"GB71210004, GB112069061370, GB112069061382, GB641211630001, GB531206908100, GB112069061382",,GB112069061370,,Sugar Brook,River,378280,381838,SJ7828081838,379974,383303,376816,380938,Not Designated A/HMWB
GB112069061360,2,13/09/2013,"GB112069060650, GB112069060660","GB71210004, GB112069061381, GB112069061382, GB641211630001, GB531206908100, GB112069061382","GB112069060650, GB112069060660",GB112069061381,,Dean (Bollington to Bollin),River,386100,383864,SJ8610083864,393559,384120,383855,377645,Not Designated A/HMWB
GB112069061370,2,13/09/2013,"GB112069061330, GB112069061340, GB112069061350","GB71210004, GB112069061382, GB641211630001, GB531206908100, GB112069061382","GB112069061330, GB112069061340, GB112069061350","GB112069061382, GB112069061382",,Birkin Brook - Mobberley Brook to River Bollin (including Rostherne Brook),River,375130,385185,SJ7513085185,376828,385707,372717,380179,Not Designated A/HMWB
GB112069061381,2,13/09/2013,"GB112069061320, GB112069061360, GB112069060650, GB112069060660","GB71210004, GB112069061382, GB641211630001, GB531206908100, GB112069061382","GB112069061320, GB112069061360","GB112069061382, GB112069061382",,Bollin (River Dean to Ashley Mill),River,380768,384034,SJ8076884034,383856,385674,377188,382271,Not Designated A/HMWB
GB112069061382,2,13/09/2013,"GB112069061320, GB112069061330, GB112069061340, GB112069061350, GB112069061360, GB112069061370, GB112069061381, GB112069060650, GB112069060660","GB71210004, GB641211630001, GB531206908100","GB112069061370, GB112069061381",GB71210004,,Bollin (Ashley Mill to Manchester Ship Canal),River,370039,388807,SJ7003988807,377188,388902,368235,383871,Heavily Modified
GB112069061390,2,13/09/2013,"GB112069060710, GB112069060680, GB112069060690, GB112069060710","GB641211630001, GB531206908100","GB112069060680, GB112069060690",GB531206908100,,Ditton Brook (Halewood to Mersey Estuary),River,345300,387637,SJ4530087637,348331,387868,343532,384939,Heavily Modified
GB112069064520,2,13/09/2013,,"GB71210004, GB112069060760, GB112069061011, GB112069061420, GB641211630001, GB531206908100",,GB112069060760,,Hey/Borsdane Brook,River,362929,406615,SD6292906615,364929,410247,360242,398821,Heavily Modified
GB112069064530,2,13/09/2013,"GB112069064560, GB112069064570, GB112069064580","GB71210004, GB112069061011, GB112069064550, GB112069061451, GB112069061452, GB641211630001, GB531206908100","GB112069064560, GB112069064570, GB112069064580",GB112069064550,,Tonge,River,372528,409575,SD7252809575,373378,411108,371955,407909,Heavily Modified
GB112069064540,2,13/09/2013,,"GB71210004, GB112069061011, GB112069064550, GB112069061451, GB112069061452, GB641211630001, GB531206908100",,GB112069064550,,Middle Brook,River,369599,410548,SD6959910548,373372,410567,363868,407909,Heavily Modified
GB112069064550,2,13/09/2013,"GB112069064530, GB112069064540, GB112069064560, GB112069064570, GB112069064580","GB71210004, GB112069061011, GB112069061451, GB112069061452, GB641211630001, GB531206908100","GB112069064530, GB112069064540",GB112069061451,,Croal (including Blackshaw Brook),River,375405,408515,SD7540508515,375407,410498,373143,406022,Heavily Modified
GB112069064560,2,13/09/2013,,"GB71210004, GB112069061011, GB112069064530, GB112069064550, GB112069061451, GB112069061452, GB641211630001, GB531206908100",,GB112069064530,,Astley Brook (Irwell),River,368941,411689,SD6894111689,371961,413242,365918,411107,Heavily Modified
GB112069064570,2,13/09/2013,,"GB71210004, GB112069061011, GB112069064530, GB112069064550, GB112069061451, GB112069061452, GB641211630001, GB531206908100",,GB112069064530,,Eagley Brook,River,372309,411707,SD7230911707,372573,416774,367384,411040,Heavily Modified
GB112069064580,2,13/09/2013,,"GB71210004, GB112069061011, GB112069064530, GB112069064550, GB112069061451, GB112069061452, GB641211630001, GB531206908100",,GB112069064530,,Bradshaw Brook,River,372714,417060,SD7271417060,374854,417608,370953,408639,Heavily Modified
GB112069064600,2,13/09/2013,"GB112069061250, GB112069064690, GB112069064710, GB112069064720, GB112069064730","GB71210004, GB112069061011, GB112069060840, GB112069061451, GB112069061452, GB641211630001, GB531206908100","GB112069061250, GB112069064710, GB112069064720, GB112069064730",GB112069060840,,Roch (Spodden to Irwell),River,386110,411308,SD8611011308,390615,413215,380167,407285,Heavily Modified
GB112069064610,2,13/09/2013,,"GB71210004, GB112069061011, GB112069060840, GB112069061451, GB112069061452, GB112069064620, GB641211630001, GB531206908100",,GB112069064620,,Kirklees Brook,River,377042,413993,SD7704213993,379830,417043,375466,411090,Heavily Modified
GB112068060190,2,13/09/2013,"GB112068055360, GB112068055370, GB112068055460, GB112068060180, GB112068060200, GB112068060210, GB112068060230, GB112068060240","GB112068060500, GB112068060470, GB641211630001, GB531206908100","GB112068055360, GB112068055370, GB112068055460, GB112068060180, GB112068060200, GB112068060210",GB112068060470,,Dane (Cow Brook to Wheelock),River,382167,365047,SJ8216765047,389094,367930,369341,363176,Not Designated A/HMWB
GB112068060200,2,13/09/2013,,"GB112068060500, GB112068060190, GB112068060470, GB641211630001, GB531206908100",,GB112068060190,,Swettenham Brook,River,384353,367062,SJ8435367062,388465,368361,378992,366818,Not Designated A/HMWB
GB112068060210,2,13/09/2013,,"GB112068060500, GB112068060190, GB112068060470, GB641211630001, GB531206908100",,GB112068060190,,Cow Brook,River,389526,366219,SJ8952666219,389566,366946,389093,365826,Not Designated A/HMWB
GB112068060220,2,13/09/2013,,"GB112068060500, GB112068060470, GB641211630001, GB531206908100",,GB112068060470,,Puddinglake Brook,River,369673,369897,SJ6967369897,372436,370848,367403,369458,Not Designated A/HMWB
GB112068060230,2,13/09/2013,,"GB112068060180, GB112068060500, GB112068060190, GB112068060470, GB641211630001, GB531206908100",,GB112068060180,,Dane (Source to Clough Brook),River,400555,366468,SK0055566468,402897,369354,397014,365779,Not Designated A/HMWB
GB112068060240,2,13/09/2013,,"GB112068060180, GB112068060500, GB112068060190, GB112068060470, GB641211630001, GB531206908100",,GB112068060180,,Clough Brook,River,397461,367965,SJ9746167965,398735,369840,396986,366195,Not Designated A/HMWB
GB112068060250,2,13/09/2013,"GB112068060280, GB112068060290, GB112068060300, GB112068060320, GB112068060260","GB641211630001, GB531206908100","GB112068060280, GB112068060290, GB112068060320, GB112068060260",GB531206908100,,Gowy (Milton Brook to Mersey),River,343825,372123,SJ4382572123,346165,376027,342492,368267,Heavily Modified
GB112068060260,2,13/09/2013,,"GB112068060250, GB641211630001, GB531206908100",,GB112068060250,,Stanney Mill Brook,River,342982,373141,SJ4298273141,344214,375379,342156,370826,Heavily Modified
GB112068060270,2,13/09/2013,,"GB641211630001, GB531206908100",,GB531206908100,,Dibbinsdale Brook and Clatter Brook,River,332544,381642,SJ3254481642,334626,384218,330424,379460,Not Designated A/HMWB
GB112068060390,2,13/09/2013,"GB112068060360, GB112068060380, GB112068060410, GB112068060420, GB112068060430","GB112068060370, GB112068060500, GB641211630001, GB531206908100","GB112068060360, GB112068060380, GB112068060410",GB112068060370,,Peover Eye,River,377057,372545,SJ7705772545,381639,375803,366925,370748,Not Designated A/HMWB
GB112068060400,2,13/09/2013,,"GB112068060370, GB112068060500, GB641211630001, GB531206908100",,GB112068060370,,Forge (Kidd) Brook,River,365330,377091,SJ6533077091,366968,378364,364761,375093,Not Designated A/HMWB
GB112068060410,2,13/09/2013,"GB112068060420, GB112068060430","GB112068060370, GB112068060500, GB112068060390, GB641211630001, GB531206908100","GB112068060420, GB112068060430",GB112068060390,,Smoker Brook (Gale Brook to Wincham Brook),River,371140,378047,SJ7114078047,371911,380877,369092,375780,Not Designated A/HMWB
GB112068060420,2,13/09/2013,,"GB112068060370, GB112068060500, GB112068060390, GB112068060410, GB641211630001, GB531206908100",,GB112068060410,,Arley Brook (Source to Gale Brook),River,366377,380186,SJ6637780186,369262,383512,363771,379500,Not Designated A/HMWB
GB112068060430,2,13/09/2013,,"GB112068060370, GB112068060500, GB112068060390, GB112068060410, GB641211630001, GB531206908100",,GB112068060410,,Gale Brook,River,368238,381700,SJ6823881700,369404,383308,368206,380876,Not Designated A/HMWB
GB112068060440,2,13/09/2013,,"GB112068055451, GB112068060500, GB112068060460, GB641211630001, GB531206908100",,GB112068055451,,Ash Brook (Source to Darley Brook),River,361472,366369,SJ6147266369,362335,367384,359466,364344,Not Designated A/HMWB
GB112068060450,2,13/09/2013,,"GB112068055451, GB112068060500, GB112068060460, GB641211630001, GB531206908100",,GB112068055451,,Darley Brook,River,359513,364284,SJ5951364284,362334,365613,357044,364040,Heavily Modified
GB112068060460,2,13/09/2013,"GB112068055210, GB112068055220, GB112068055230, GB112068055240, GB112068055250, GB112068055260, GB112068055270, GB112068055280, GB112068055300, GB112068055160, GB112068055180, GB112068055190, GB112068055200, GB112068055310, GB112068055320, GB112068055330, GB112068055340, GB112068055440, GB112068055451, GB112068055470, GB112068060540, GB112068074630, GB112068060440, GB112068060450","GB112068060500, GB641211630001, GB531206908100","GB112068055220, GB112068055240, GB112068055250, GB112068055160, GB112068055180, GB112068055190, GB112068055310, GB112068055340, GB112068055451, GB112068055470, GB112068060540",GB112068060500,,Weaver (Marbury Brook to Dane),River,367470,364102,SJ6747064102,369786,373759,362214,342498,Heavily Modified
GB112068060470,2,13/09/2013,"GB112068055360, GB112068055370, GB112068055380, GB112068055390, GB112068055400, GB112068055410, GB112068055420, GB112068055430, GB112068055460, GB112068060180, GB112068060190, GB112068060200, GB112068060210, GB112068060220, GB112068060230, GB112068060240","GB112068060500, GB641211630001, GB531206908100","GB112068055380, GB112068060190, GB112068060220",GB112068060500,,Dane (Wheelock to Weaver),River,367333,370892,SJ6733370892,369351,373794,365682,366980,Not Designated A/HMWB
GB112069060600,2,13/09/2013,,"GB112069060580, GB112069061441, GB112069061442, GB641211630001, GB531206908300",,GB112069060580,,Tue Brook,River,338734,396412,SJ3873496412,339342,396842,336856,396215,Heavily Modified
GB112069060610,2,13/09/2013,,"GB112069061441, GB112069061442, GB641211630001, GB531206908300",,GB112069061441,,Croxteth/Knowsley Brook,River,340566,397156,SJ4056697156,343648,397429,339961,396539,Heavily Modified
GB112069060630,2,13/09/2013,,"GB112069061441, GB112069061442, GB641211630001, GB531206908300",,GB112069061441,,Simonswood Brook,River,341614,401546,SD4161401546,346287,401909,339934,397494,Heavily Modified
